Geography,Type,ASP,Total Units Sold,Week,Year,Total Crop Inventory
Sacramento,Conventional,1.838844567,402613.27,6/12/2022,2022,40662330
Sacramento,Conventional,1.805518047,429046.78,6/5/2022,2022,42728546
Sacramento,Conventional,1.804431173,407018.96,5/29/2022,2022,49573999
Sacramento,Conventional,1.808920538,381697.02,5/22/2022,2022,46739111
San Diego,Conventional,1.556057158,468341.3,6/12/2022,2022,40662330
San Diego,Conventional,1.539786804,471277.43,6/5/2022,2022,42728546
San Diego,Conventional,1.546483709,468436.38,5/29/2022,2022,49573999
San Diego,Conventional,1.579527629,453064.3,5/22/2022,2022,46739111
San Francisco,Conventional,1.774964416,694296.16,6/12/2022,2022,40662330
San Francisco,Conventional,1.708643534,887620.96,6/5/2022,2022,42728546
San Francisco,Conventional,1.745116578,693995.09,5/29/2022,2022,49573999
San Francisco,Conventional,1.740334763,663092.24,5/22/2022,2022,46739111
Seattle,Conventional,1.706580915,533033.25,6/12/2022,2022,40662330
Seattle,Conventional,1.882682403,455703.4,6/5/2022,2022,42728546
Seattle,Conventional,1.874180355,499238.17,5/29/2022,2022,49573999
Seattle,Conventional,1.926888954,452153.86,5/22/2022,2022,46739111
South Carolina,Conventional,1.533143393,466398.29,6/12/2022,2022,40662330
South Carolina,Conventional,1.538714992,472084.88,6/5/2022,2022,42728546
South Carolina,Conventional,1.572003665,483402.23,5/29/2022,2022,49573999
South Carolina,Conventional,1.541664661,465708.79,5/22/2022,2022,46739111
Spokane,Conventional,1.548101558,80549.2,6/12/2022,2022,40662330
Spokane,Conventional,1.706735228,66876.27,6/5/2022,2022,42728546
Spokane,Conventional,1.689859177,71187.56,5/29/2022,2022,49573999
Spokane,Conventional,1.75350638,63251.15,5/22/2022,2022,46739111
St. Louis,Conventional,1.380080242,208917.15,6/12/2022,2022,40662330
St. Louis,Conventional,1.378514347,203892.65,6/5/2022,2022,42728546
St. Louis,Conventional,1.364686313,205197.4,5/29/2022,2022,49573999
St. Louis,Conventional,1.352775022,200930.96,5/22/2022,2022,46739111
Syracuse,Conventional,1.558610334,69569.93,6/12/2022,2022,40662330
Syracuse,Conventional,1.56817423,68719.24,6/5/2022,2022,42728546
Syracuse,Conventional,1.551328431,73627.34,5/29/2022,2022,49573999
Syracuse,Conventional,1.565940039,73020.58,5/22/2022,2022,46739111
Tampa,Conventional,1.411811432,455864.45,6/12/2022,2022,40662330
Tampa,Conventional,1.499625755,454411.81,6/5/2022,2022,42728546
Tampa,Conventional,1.494061577,449941.68,5/29/2022,2022,49573999
Tampa,Conventional,1.484337137,456531.06,5/22/2022,2022,46739111
Toledo,Conventional,1.322131924,148590.27,6/12/2022,2022,40662330
Toledo,Conventional,1.556387637,114651.71,6/5/2022,2022,42728546
Toledo,Conventional,1.569955188,123822.78,5/29/2022,2022,49573999
Toledo,Conventional,1.513419418,111717.03,5/22/2022,2022,46739111
West Tex/New Mexico,Conventional,1.364494984,809013.22,6/12/2022,2022,40662330
West Tex/New Mexico,Conventional,1.367206177,764347.74,6/5/2022,2022,42728546
West Tex/New Mexico,Conventional,1.412167905,731838.17,5/29/2022,2022,49573999
West Tex/New Mexico,Conventional,1.403050425,766309.45,5/22/2022,2022,46739111
Wichita,Conventional,1.226492807,117443.98,6/12/2022,2022,40662330
Wichita,Conventional,1.339271144,101144.32,6/5/2022,2022,42728546
Wichita,Conventional,1.386716544,90748.1,5/29/2022,2022,49573999
Wichita,Conventional,1.373343678,90684.77,5/22/2022,2022,46739111
California,Conventional,1.655019986,5203172.21,6/12/2022,2022,40662330
California,Conventional,1.619588564,5429426.43,6/5/2022,2022,42728546
California,Conventional,1.634970327,5146307.66,5/29/2022,2022,49573999
California,Conventional,1.650771817,4995834.78,5/22/2022,2022,46739111
Great Lakes,Conventional,1.462407349,4047446.86,6/12/2022,2022,40662330
Great Lakes,Conventional,1.565893435,3618349.95,6/5/2022,2022,42728546
Great Lakes,Conventional,1.613722435,3701008.96,5/29/2022,2022,49573999
Great Lakes,Conventional,1.606862936,3364069.35,5/22/2022,2022,46739111
Midsouth,Conventional,1.46469911,3556388.15,6/12/2022,2022,40662330
Midsouth,Conventional,1.516887616,3680601.55,6/5/2022,2022,42728546
Midsouth,Conventional,1.574197154,3568082.98,5/29/2022,2022,49573999
Midsouth,Conventional,1.555002923,3501912.01,5/22/2022,2022,46739111
Northeast,Conventional,1.601184969,4442762.39,6/12/2022,2022,40662330
Northeast,Conventional,1.502196178,5683270.95,6/5/2022,2022,42728546
Northeast,Conventional,1.690116097,4701671.43,5/29/2022,2022,49573999
Northeast,Conventional,1.687503399,4756654.96,5/22/2022,2022,46739111
Plains,Conventional,1.536498116,1802692,6/12/2022,2022,40662330
Plains,Conventional,1.575023181,1764264.96,6/5/2022,2022,42728546
Plains,Conventional,1.601629371,1701781.57,5/29/2022,2022,49573999
Plains,Conventional,1.586195447,1686770.69,5/22/2022,2022,46739111
South Central,Conventional,1.307688595,4241002.34,6/12/2022,2022,40662330
South Central,Conventional,1.30470927,4462965.43,6/5/2022,2022,42728546
South Central,Conventional,1.365678793,4171393.03,5/29/2022,2022,49573999
South Central,Conventional,1.340119826,4142277.14,5/22/2022,2022,46739111
Southeast,Conventional,1.48439153,4358229.87,6/12/2022,2022,40662330
Southeast,Conventional,1.502981687,4478091.69,6/5/2022,2022,42728546
Southeast,Conventional,1.532229777,4393518.61,5/29/2022,2022,49573999
Southeast,Conventional,1.517241828,4326017.34,5/22/2022,2022,46739111
West,Conventional,1.413109841,6675706.51,6/12/2022,2022,40662330
West,Conventional,1.49763285,6026400.83,6/5/2022,2022,42728546
West,Conventional,1.549501897,5877430.86,5/29/2022,2022,49573999
West,Conventional,1.610007788,5654321.3,5/22/2022,2022,46739111
Total U.S.,Conventional,1.487781241,34327400.32,6/12/2022,2022,40662330
Total U.S.,Conventional,1.506323603,35143371.78,6/5/2022,2022,42728546
Total U.S.,Conventional,1.569729369,33261195.1,5/29/2022,2022,49573999
Total U.S.,Conventional,1.573299988,32427857.57,5/22/2022,2022,46739111
Albany,Organic,1.996726072,3811.17,6/12/2022,2022,40662330
Albany,Organic,2.275222485,2615.06,6/5/2022,2022,42728546
Albany,Organic,2.056054584,3544.61,5/29/2022,2022,49573999
Albany,Organic,2.124968508,2861.34,5/22/2022,2022,46739111
Atlanta,Organic,2.145818404,24827.56,6/12/2022,2022,40662330
Atlanta,Organic,2.184810948,30019.85,6/5/2022,2022,42728546
Atlanta,Organic,2.433604941,24517.67,5/29/2022,2022,49573999
Atlanta,Organic,2.3904993,23636.88,5/22/2022,2022,46739111
Baltimore/Washington,Organic,1.889323819,60133.14,6/12/2022,2022,40662330
Baltimore/Washington,Organic,2.113383759,51471.86,6/5/2022,2022,42728546
Baltimore/Washington,Organic,1.961206585,54930.35,5/29/2022,2022,49573999
Baltimore/Washington,Organic,1.735707035,55309.52,5/22/2022,2022,46739111
Birmingham/Montgomery,Organic,1.724715087,16271.14,6/12/2022,2022,40662330
Birmingham/Montgomery,Organic,1.690426798,19842.8,6/5/2022,2022,42728546
Birmingham/Montgomery,Organic,1.817658857,11968.93,5/29/2022,2022,49573999
Birmingham/Montgomery,Organic,2.013154452,11265.98,5/22/2022,2022,46739111
Boise,Organic,2.86283543,4673.07,6/12/2022,2022,40662330
Boise,Organic,2.972909063,5419.79,6/5/2022,2022,42728546
Boise,Organic,3.026284549,4637.02,5/29/2022,2022,49573999
Boise,Organic,2.9875905,5513.17,5/22/2022,2022,46739111
Boston,Organic,1.968777701,36535.99,6/12/2022,2022,40662330
Boston,Organic,1.937591648,36500.34,6/5/2022,2022,42728546
Boston,Organic,1.912390791,36235.9,5/29/2022,2022,49573999
Boston,Organic,1.903537584,35740.66,5/22/2022,2022,46739111
Buffalo/Rochester,Organic,1.572414443,14374.24,6/12/2022,2022,40662330
Buffalo/Rochester,Organic,1.696221522,12431.48,6/5/2022,2022,42728546
Buffalo/Rochester,Organic,1.724366714,13330.56,5/29/2022,2022,49573999
Buffalo/Rochester,Organic,1.65899533,13612.59,5/22/2022,2022,46739111
Charlotte,Organic,1.844540942,20507.36,6/12/2022,2022,40662330
Charlotte,Organic,1.798895255,17061.09,6/5/2022,2022,42728546
Charlotte,Organic,1.816875187,18126.98,5/29/2022,2022,49573999
Charlotte,Organic,1.834797715,17808.52,5/22/2022,2022,46739111
Chicago,Organic,1.455102487,29388.98,6/12/2022,2022,40662330
Chicago,Organic,1.770435857,29354.84,6/5/2022,2022,42728546
Chicago,Organic,1.58676314,44852.51,5/29/2022,2022,49573999
Chicago,Organic,1.76780045,33336.13,5/22/2022,2022,46739111
Cincinnati/Dayton,Organic,2.531610155,12819.54,6/12/2022,2022,40662330
Cincinnati/Dayton,Organic,2.651878057,11701.06,6/5/2022,2022,42728546
Cincinnati/Dayton,Organic,2.717763507,12168.1,5/29/2022,2022,49573999
Cincinnati/Dayton,Organic,2.810911406,12884.91,5/22/2022,2022,46739111
Columbus,Organic,2.242068792,8415.8,6/12/2022,2022,40662330
Columbus,Organic,2.367370655,6919.73,6/5/2022,2022,42728546
Columbus,Organic,2.4081356,7134.14,5/29/2022,2022,49573999
Columbus,Organic,2.569007196,8365.79,5/22/2022,2022,46739111
Dallas/Ft. Worth,Organic,1.900049223,33592.28,6/12/2022,2022,40662330
Dallas/Ft. Worth,Organic,1.914829784,37256.96,6/5/2022,2022,42728546
Dallas/Ft. Worth,Organic,2.059351624,32060.88,5/29/2022,2022,49573999
Dallas/Ft. Worth,Organic,2.085348336,30235.47,5/22/2022,2022,46739111
Denver,Organic,2.336344996,32781.11,6/12/2022,2022,40662330
Denver,Organic,2.331112655,33670.71,6/5/2022,2022,42728546
Denver,Organic,2.245383773,36426.84,5/29/2022,2022,49573999
Denver,Organic,2.311306059,37370.33,5/22/2022,2022,46739111
Detroit,Organic,2.241367948,11026.48,6/12/2022,2022,40662330
Detroit,Organic,2.180405438,14727.86,6/5/2022,2022,42728546
Detroit,Organic,2.222615026,18961.08,5/29/2022,2022,49573999
Detroit,Organic,2.242633148,18944.33,5/22/2022,2022,46739111
Grand Rapids,Organic,1.853484346,4915.28,6/12/2022,2022,40662330
Grand Rapids,Organic,1.772290788,8241.73,6/5/2022,2022,42728546
Grand Rapids,Organic,1.291937361,14946.42,5/29/2022,2022,49573999
Grand Rapids,Organic,1.200895025,18611.36,5/22/2022,2022,46739111
Harrisburg/Scranton,Organic,1.775281077,11307.21,6/12/2022,2022,40662330
Harrisburg/Scranton,Organic,1.841215905,10483.68,6/5/2022,2022,42728546
Harrisburg/Scranton,Organic,1.768925758,14165.26,5/29/2022,2022,49573999
Harrisburg/Scranton,Organic,1.812756039,12978.96,5/22/2022,2022,46739111
Hartford/Springfield,Organic,1.966115253,18588.91,6/12/2022,2022,40662330
Hartford/Springfield,Organic,2.057679316,18823.84,6/5/2022,2022,42728546
Hartford/Springfield,Organic,1.906365907,20947.31,5/29/2022,2022,49573999
Hartford/Springfield,Organic,2.072408453,17135.43,5/22/2022,2022,46739111
Houston,Organic,2.154154997,13605.01,6/12/2022,2022,40662330
Houston,Organic,1.68965878,27415.17,6/5/2022,2022,42728546
Houston,Organic,1.616085974,35631.08,5/29/2022,2022,49573999
Houston,Organic,2.015251002,16786.6,5/22/2022,2022,46739111
Indianapolis,Organic,2.318105167,7056.57,6/12/2022,2022,40662330
Indianapolis,Organic,2.273142219,8491.77,6/5/2022,2022,42728546
Indianapolis,Organic,2.318943535,7641.44,5/29/2022,2022,49573999
Indianapolis,Organic,2.357210038,8103.77,5/22/2022,2022,46739111
Jacksonville,Organic,1.473281584,28121.01,6/12/2022,2022,40662330
Jacksonville,Organic,1.472639624,28303.42,6/5/2022,2022,42728546
Jacksonville,Organic,1.421393737,28209.5,5/29/2022,2022,49573999
Jacksonville,Organic,1.397006042,29577.51,5/22/2022,2022,46739111
Las Vegas,Organic,2.143276791,10826.58,6/12/2022,2022,40662330
Las Vegas,Organic,2.205814612,11368.89,6/5/2022,2022,42728546
Las Vegas,Organic,2.253657219,13022.49,5/29/2022,2022,49573999
Las Vegas,Organic,2.22789768,14173.9,5/22/2022,2022,46739111
Los Angeles,Organic,2.108784198,116452.23,6/12/2022,2022,40662330
Los Angeles,Organic,2.099418164,115865.63,6/5/2022,2022,42728546
Los Angeles,Organic,2.110685139,117069.36,5/29/2022,2022,49573999
Los Angeles,Organic,2.070924564,133085.06,5/22/2022,2022,46739111
Louisville,Organic,2.195430684,6269.71,6/12/2022,2022,40662330
Louisville,Organic,2.470314669,4638.62,6/5/2022,2022,42728546
Louisville,Organic,2.722789426,4384.91,5/29/2022,2022,49573999
Louisville,Organic,2.843577562,5222.42,5/22/2022,2022,46739111
Miami/Ft. Lauderdale,Organic,1.448578193,104033.6,6/12/2022,2022,40662330
Miami/Ft. Lauderdale,Organic,1.443055159,127012.99,6/5/2022,2022,42728546
Miami/Ft. Lauderdale,Organic,1.413382519,124087.93,5/29/2022,2022,49573999
Miami/Ft. Lauderdale,Organic,1.37976982,133027.06,5/22/2022,2022,46739111
Nashville,Organic,2.103983451,15681.66,6/12/2022,2022,40662330
Nashville,Organic,2.264507528,14654.28,6/5/2022,2022,42728546
Nashville,Organic,2.275859175,15618.89,5/29/2022,2022,49573999
Nashville,Organic,2.40454511,15287.96,5/22/2022,2022,46739111
Northern New England,Organic,2.416304885,21110.23,6/12/2022,2022,40662330
Northern New England,Organic,2.382097325,17311.94,6/5/2022,2022,42728546
Northern New England,Organic,2.435408364,15253.77,5/29/2022,2022,49573999
Northern New England,Organic,2.410270518,15228.06,5/22/2022,2022,46739111
New Orleans/Mobile,Organic,1.697347882,11997.66,6/12/2022,2022,40662330
New Orleans/Mobile,Organic,1.604468417,15965.41,6/5/2022,2022,42728546
New Orleans/Mobile,Organic,1.611323915,13114.18,5/29/2022,2022,49573999
New Orleans/Mobile,Organic,1.671209567,12253.08,5/22/2022,2022,46739111
New York,Organic,1.973101607,93355.97,6/12/2022,2022,40662330
New York,Organic,2.015891469,96871.73,6/5/2022,2022,42728546
New York,Organic,1.96267736,102743.63,5/29/2022,2022,49573999
New York,Organic,1.952548573,100433.29,5/22/2022,2022,46739111
Orlando,Organic,1.437199674,73392.14,6/12/2022,2022,40662330
Orlando,Organic,1.437412578,87190.75,6/5/2022,2022,42728546
Orlando,Organic,1.404711524,89254.3,5/29/2022,2022,49573999
Orlando,Organic,1.3068487,90392.18,5/22/2022,2022,46739111
Peoria/Springfield,Organic,2.095387763,2607.04,6/12/2022,2022,40662330
Peoria/Springfield,Organic,2.075871471,3027.46,6/5/2022,2022,42728546
Peoria/Springfield,Organic,2.113305698,3402.88,5/29/2022,2022,49573999
Peoria/Springfield,Organic,2.041616143,3242.79,5/22/2022,2022,46739111
Philadelphia,Organic,2.041147801,23077.29,6/12/2022,2022,40662330
Philadelphia,Organic,2.076185373,23915.74,6/5/2022,2022,42728546
Philadelphia,Organic,1.982154081,27088.27,5/29/2022,2022,49573999
Philadelphia,Organic,1.950879442,25094.3,5/22/2022,2022,46739111
Phoenix/Tucson,Organic,1.957007435,19346.82,6/12/2022,2022,40662330
Phoenix/Tucson,Organic,2.022900117,22643.08,6/5/2022,2022,42728546
Phoenix/Tucson,Organic,2.12790595,24192.25,5/29/2022,2022,49573999
Phoenix/Tucson,Organic,2.130532936,24757.94,5/22/2022,2022,46739111
Pittsburgh,Organic,1.854370208,6634.56,6/12/2022,2022,40662330
Pittsburgh,Organic,1.877463055,6483.29,6/5/2022,2022,42728546
Pittsburgh,Organic,1.726078803,8355.45,5/29/2022,2022,49573999
Pittsburgh,Organic,1.696631014,8712.35,5/22/2022,2022,46739111
Portland,Organic,2.461515433,28221.75,6/12/2022,2022,40662330
Portland,Organic,2.600897139,31909.4,6/5/2022,2022,42728546
Portland,Organic,2.790208149,27735.26,5/29/2022,2022,49573999
Portland,Organic,2.709882611,28662.81,5/22/2022,2022,46739111
Providence,Organic,1.972834093,5239.82,6/12/2022,2022,40662330
Providence,Organic,1.850936226,5144.63,6/5/2022,2022,42728546
Providence,Organic,1.868359325,4704.62,5/29/2022,2022,49573999
Providence,Organic,1.798981362,5262.77,5/22/2022,2022,46739111
Raleigh/Greensboro,Organic,1.815140556,25379,6/12/2022,2022,40662330
Raleigh/Greensboro,Organic,1.868473072,21361.75,6/5/2022,2022,42728546
Raleigh/Greensboro,Organic,1.786480919,26406.84,5/29/2022,2022,49573999
Raleigh/Greensboro,Organic,1.81890132,24664.1,5/22/2022,2022,46739111
Richmond/Norfolk,Organic,1.735615913,17848.34,6/12/2022,2022,40662330
Richmond/Norfolk,Organic,1.810589594,15320.54,6/5/2022,2022,42728546
Richmond/Norfolk,Organic,1.78718783,18350.21,5/29/2022,2022,49573999
Richmond/Norfolk,Organic,1.774518169,19879.78,5/22/2022,2022,46739111
Roanoke,Organic,1.857531914,9190.92,6/12/2022,2022,40662330
Roanoke,Organic,2.053228808,6242.89,6/5/2022,2022,42728546
Roanoke,Organic,2.037225099,7899.4,5/29/2022,2022,49573999
Roanoke,Organic,2.111841621,8180.16,5/22/2022,2022,46739111
Sacramento,Organic,1.899184532,29208.11,6/12/2022,2022,40662330
Sacramento,Organic,1.989989556,27600.19,6/5/2022,2022,42728546
Sacramento,Organic,2.28905776,23254.99,5/29/2022,2022,49573999
Sacramento,Organic,2.195876445,22307.67,5/22/2022,2022,46739111
San Diego,Organic,2.320171767,22784.7,6/12/2022,2022,40662330
San Diego,Organic,2.305387456,21511.94,6/5/2022,2022,42728546
San Diego,Organic,2.277964721,20798.01,5/29/2022,2022,49573999
San Diego,Organic,2.337623282,23385.88,5/22/2022,2022,46739111
San Francisco,Organic,2.103957787,82115.81,6/12/2022,2022,40662330
San Francisco,Organic,2.178287427,76852.81,6/5/2022,2022,42728546
San Francisco,Organic,2.253843861,78330.39,5/29/2022,2022,49573999
San Francisco,Organic,2.144533977,77861.07,5/22/2022,2022,46739111
Seattle,Organic,2.077403596,66933.76,6/12/2022,2022,40662330
Seattle,Organic,2.155568891,72449.87,6/5/2022,2022,42728546
Seattle,Organic,2.46688281,49409.08,5/29/2022,2022,49573999
Seattle,Organic,2.470636499,45302.92,5/22/2022,2022,46739111
South Carolina,Organic,1.688279179,37972.14,6/12/2022,2022,40662330
South Carolina,Organic,1.624555653,37990.21,6/5/2022,2022,42728546
South Carolina,Organic,1.753581367,32697.84,5/29/2022,2022,49573999
South Carolina,Organic,1.781736075,28199.53,5/22/2022,2022,46739111
Spokane,Organic,2.605622321,3793.28,6/12/2022,2022,40662330
Spokane,Organic,2.712212896,4257.71,6/5/2022,2022,42728546
Spokane,Organic,2.782600637,4112.28,5/29/2022,2022,49573999
Spokane,Organic,2.623598051,3448.78,5/22/2022,2022,46739111
St. Louis,Organic,2.017375866,4339.62,6/12/2022,2022,40662330
St. Louis,Organic,2.080069509,6594.92,6/5/2022,2022,42728546
St. Louis,Organic,2.21756506,7581.19,5/29/2022,2022,49573999
St. Louis,Organic,2.247754366,6588.05,5/22/2022,2022,46739111
Syracuse,Organic,1.610814427,4968.46,6/12/2022,2022,40662330
Syracuse,Organic,1.801160542,3805.1,6/5/2022,2022,42728546
Syracuse,Organic,1.683127713,4871.39,5/29/2022,2022,49573999
Syracuse,Organic,1.635622317,4630.26,5/22/2022,2022,46739111
Tampa,Organic,1.152706744,79953.32,6/12/2022,2022,40662330
Tampa,Organic,1.111016637,89860.96,6/5/2022,2022,42728546
Tampa,Organic,1.080510222,94984.77,5/29/2022,2022,49573999
Tampa,Organic,1.081597122,95116.81,5/22/2022,2022,46739111
Toledo,Organic,2.464742107,2647.53,6/12/2022,2022,40662330
Toledo,Organic,2.283824355,3582.49,6/5/2022,2022,42728546
Toledo,Organic,2.293905773,4118.05,5/29/2022,2022,49573999
Toledo,Organic,2.426609181,3906.63,5/22/2022,2022,46739111
West Tex/New Mexico,Organic,1.492000271,25585.06,6/12/2022,2022,40662330
West Tex/New Mexico,Organic,1.568481878,36609.73,6/5/2022,2022,42728546
West Tex/New Mexico,Organic,1.645557948,48396.72,5/29/2022,2022,49573999
West Tex/New Mexico,Organic,1.537621128,43025.84,5/22/2022,2022,46739111
Wichita,Organic,2.177665114,2448.95,6/12/2022,2022,40662330
Wichita,Organic,2.297773617,2854.61,6/5/2022,2022,42728546
Wichita,Organic,2.218516105,2543.64,5/29/2022,2022,49573999
Wichita,Organic,2.245449368,3135.99,5/22/2022,2022,46739111
California,Organic,2.052342387,330083,6/12/2022,2022,40662330
California,Organic,2.102754385,310294.59,6/5/2022,2022,42728546
California,Organic,2.174989521,306357.03,5/29/2022,2022,49573999
California,Organic,2.105546193,329089.16,5/22/2022,2022,46739111
Great Lakes,Organic,1.99748802,116049.2,6/12/2022,2022,40662330
Great Lakes,Organic,2.058768628,134532.85,6/5/2022,2022,42728546
Great Lakes,Organic,1.924037014,171832.03,5/29/2022,2022,49573999
Great Lakes,Organic,1.968592268,163613.1,5/22/2022,2022,46739111
Midsouth,Organic,1.875083357,229915.55,6/12/2022,2022,40662330
Midsouth,Organic,2.016547926,190749.38,6/5/2022,2022,42728546
Midsouth,Organic,1.954755977,219439.21,5/29/2022,2022,49573999
Midsouth,Organic,1.92605523,216189.62,5/22/2022,2022,46739111
Northeast,Organic,1.972775423,257314.95,6/12/2022,2022,40662330
Northeast,Organic,2.006994896,249900.77,6/5/2022,2022,42728546
Northeast,Organic,1.94160125,271074.52,5/29/2022,2022,49573999
Northeast,Organic,1.936969933,260845.44,5/22/2022,2022,46739111
Plains,Organic,2.05977234,49103.47,6/12/2022,2022,40662330
Plains,Organic,2.061350984,56359.22,6/5/2022,2022,42728546
Plains,Organic,2.033003691,59013.84,5/29/2022,2022,49573999
Plains,Organic,2.065843066,57286.54,5/22/2022,2022,46739111
South Central,Organic,1.852217296,102388.74,6/12/2022,2022,40662330
South Central,Organic,1.67599106,165148.16,6/5/2022,2022,42728546
South Central,Organic,1.679042439,201975.8,5/29/2022,2022,49573999
South Central,Organic,1.886962871,139305.05,5/22/2022,2022,46739111
Southeast,Organic,1.448936442,494860.41,6/12/2022,2022,40662330
Southeast,Organic,1.431244785,561080.53,6/5/2022,2022,42728546
Southeast,Organic,1.411920304,538765.13,5/29/2022,2022,49573999
Southeast,Organic,1.380787721,543291.03,5/22/2022,2022,46739111
West,Organic,2.210296739,260694.58,6/12/2022,2022,40662330
West,Organic,2.269784728,287490.67,6/5/2022,2022,42728546
West,Organic,2.361751075,266116.56,5/29/2022,2022,49573999
West,Organic,2.332642768,265457.54,5/22/2022,2022,46739111
Total U.S.,Organic,1.864806028,1840409.91,6/12/2022,2022,40662330
Total U.S.,Organic,1.873737357,1955556.18,6/5/2022,2022,42728546
Total U.S.,Organic,1.86795802,2034574.12,5/29/2022,2022,49573999
Total U.S.,Organic,1.866882958,1975077.48,5/22/2022,2022,46739111
Albany,Conventional,1.246205313,132411.77,7/10/2022,2022,58169999
Albany,Conventional,1.4104661,117003.46,7/3/2022,2022,64115120
Albany,Conventional,1.431262434,107740.53,6/26/2022,2022,47400444
Albany,Conventional,1.413097124,120724.1,6/19/2022,2022,41373831
Atlanta,Conventional,1.176548097,640284.45,7/10/2022,2022,58169999
Atlanta,Conventional,1.226585715,714216.44,7/3/2022,2022,64115120
Atlanta,Conventional,1.313286826,690907.47,6/26/2022,2022,47400444
Atlanta,Conventional,1.497381167,641385.81,6/19/2022,2022,41373831
Baltimore/Washington,Conventional,1.612922581,771099.46,7/10/2022,2022,58169999
Baltimore/Washington,Conventional,1.634739183,792992.37,7/3/2022,2022,64115120
Baltimore/Washington,Conventional,1.449718499,851143.93,6/26/2022,2022,47400444
Baltimore/Washington,Conventional,1.640898998,810387.23,6/19/2022,2022,41373831
Birmingham/Montgomery,Conventional,1.339999864,255782.63,7/10/2022,2022,58169999
Birmingham/Montgomery,Conventional,1.363042251,274404.13,7/3/2022,2022,64115120
Birmingham/Montgomery,Conventional,1.357118362,251391.53,6/26/2022,2022,47400444
Birmingham/Montgomery,Conventional,1.421163535,270900.6,6/19/2022,2022,41373831
Boise,Conventional,1.365765589,121674.28,7/10/2022,2022,58169999
Boise,Conventional,1.544866424,101577.25,7/3/2022,2022,64115120
Boise,Conventional,1.523168781,110110.88,6/26/2022,2022,47400444
Boise,Conventional,1.521723457,108020.32,6/19/2022,2022,41373831
Boston,Conventional,1.55633693,547647.94,7/10/2022,2022,58169999
Boston,Conventional,1.586538113,515192.1,7/3/2022,2022,64115120
Boston,Conventional,1.608929491,530879.38,6/26/2022,2022,47400444
Boston,Conventional,1.719632175,499260.13,6/19/2022,2022,41373831
Buffalo/Rochester,Conventional,1.484446383,165473.54,7/10/2022,2022,58169999
Buffalo/Rochester,Conventional,1.482554927,168481.68,7/3/2022,2022,64115120
Buffalo/Rochester,Conventional,1.445894366,161420.68,6/26/2022,2022,47400444
Buffalo/Rochester,Conventional,1.515494891,175239.94,6/19/2022,2022,41373831
Charlotte,Conventional,1.5647221,283661.55,7/10/2022,2022,58169999
Charlotte,Conventional,1.590083058,295558.02,7/3/2022,2022,64115120
Charlotte,Conventional,1.587236365,277802.52,6/26/2022,2022,47400444
Charlotte,Conventional,1.622598356,298365.78,6/19/2022,2022,41373831
Chicago,Conventional,1.722016014,774429.36,7/10/2022,2022,58169999
Chicago,Conventional,1.729560906,823551.38,7/3/2022,2022,64115120
Chicago,Conventional,1.727336189,702859.92,6/26/2022,2022,47400444
Chicago,Conventional,1.723488197,786393.3,6/19/2022,2022,41373831
Cincinnati/Dayton,Conventional,1.558758717,241988.75,7/10/2022,2022,58169999
Cincinnati/Dayton,Conventional,1.578741409,270463.77,7/3/2022,2022,64115120
Cincinnati/Dayton,Conventional,1.583289068,238174.41,6/26/2022,2022,47400444
Cincinnati/Dayton,Conventional,1.395095327,292869.66,6/19/2022,2022,41373831
Columbus,Conventional,1.512617791,194016.94,7/10/2022,2022,58169999
Columbus,Conventional,1.518307275,216801.68,7/3/2022,2022,64115120
Columbus,Conventional,1.518094791,202964.24,6/26/2022,2022,47400444
Columbus,Conventional,1.349969204,248449.84,6/19/2022,2022,41373831
Dallas/Ft. Worth,Conventional,1.196323259,1287904.79,7/10/2022,2022,58169999
Dallas/Ft. Worth,Conventional,1.337465036,1204589.58,7/3/2022,2022,64115120
Dallas/Ft. Worth,Conventional,1.352917833,1092359.4,6/26/2022,2022,47400444
Dallas/Ft. Worth,Conventional,1.316773242,1165713.66,6/19/2022,2022,41373831
Denver,Conventional,1.515050558,860483.4,7/10/2022,2022,58169999
Denver,Conventional,1.541596277,889240,7/3/2022,2022,64115120
Denver,Conventional,1.652294856,738862.92,6/26/2022,2022,47400444
Denver,Conventional,1.596457986,813359.66,6/19/2022,2022,41373831
Detroit,Conventional,1.510670377,330903.26,7/10/2022,2022,58169999
Detroit,Conventional,1.349226966,450569.69,7/3/2022,2022,64115120
Detroit,Conventional,1.347089522,473474.46,6/26/2022,2022,47400444
Detroit,Conventional,1.416014705,471151.4,6/19/2022,2022,41373831
Grand Rapids,Conventional,1.758978448,130954.87,7/10/2022,2022,58169999
Grand Rapids,Conventional,1.560330516,174646.5,7/3/2022,2022,64115120
Grand Rapids,Conventional,1.545060385,188212.07,6/26/2022,2022,47400444
Grand Rapids,Conventional,1.919707197,140515.35,6/19/2022,2022,41373831
Harrisburg/Scranton,Conventional,1.332307585,332045.85,7/10/2022,2022,58169999
Harrisburg/Scranton,Conventional,1.461913168,334045.88,7/3/2022,2022,64115120
Harrisburg/Scranton,Conventional,1.496128333,315203.86,6/26/2022,2022,47400444
Harrisburg/Scranton,Conventional,1.511818047,342638.86,6/19/2022,2022,41373831
Hartford/Springfield,Conventional,1.535774444,289527.42,7/10/2022,2022,58169999
Hartford/Springfield,Conventional,1.565505489,292762.98,7/3/2022,2022,64115120
